# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       5.182      131.200      101.199     4578.504
       5.190      165.200      101.199     4578.504
       5.198       98.600      101.199     4578.504
       5.205       91.500      101.199     4578.504
       5.213       91.800      101.199     4578.504
       5.220        0.000      101.199     4578.504
       5.227      168.100      101.199     4578.504
       5.234      148.300      101.199     4578.504
       5.242      104.100      101.199     4578.504
       5.249      102.300      101.199     4578.504
       5.257       96.100      101.199     4578.504
       5.264       89.500      101.199     4578.504
       5.272      103.300      101.199     4578.504
       5.279       76.300      101.199     4578.504
       5.287      116.400      101.199     4578.504
       5.295       67.800      101.199     4578.504
       5.303      149.800      101.199     4578.504
       5.310       82.800      101.199     4578.504
       5.317       66.000      101.199     4578.504
       5.325      149.700      101.199     4578.504
       5.332        5.600      101.199     4578.504
       5.340      159.400      101.199     4578.504
       5.347      134.600      101.199     4578.504
       5.355      100.200      101.199     4578.504
       5.364       74.100      101.199     4578.504
       5.372      127.200      101.199     4578.504
       5.380       87.300      101.199     4578.504
       5.387       75.800      101.199     4578.504
       5.395      129.700      101.199     4578.504
       5.402        0.000      101.199     4578.504
       5.410      126.000      101.199     4578.504
       5.417      163.600      101.199     4578.504
       5.425       85.000      101.199     4578.504
       5.432       55.700      101.199     4578.504
       5.439      172.600      101.199     4578.504
       5.447       37.700      101.199     4578.504
       5.454      153.000      101.199     4578.504
       5.461      101.000      101.199     4578.504
       5.469       80.400      101.199     4578.504
       5.476      124.300      101.199     4578.504
       5.483        0.000      101.199     4578.504
       5.491      169.600      101.199     4578.504
       5.498      129.700      101.199     4578.504
       5.506       99.300      101.199     4578.504
       5.513       29.100      101.199     4578.504
       5.520      138.100      101.199     4578.504
       5.528      114.000      101.199     4578.504
       5.535       99.000      101.199     4578.504
       5.543       59.000      101.191     4577.992
       5.550      135.700      101.191     4577.992
       5.558       93.200      101.191     4577.992
       5.565      127.300      101.191     4577.992
       5.573      104.600      101.191     4577.992
       5.580        0.000      101.191     4577.992
       5.588      123.700      101.191     4577.992
       5.595      131.900      101.191     4577.992
       5.603      137.100      101.191     4577.992
       5.610        0.000      101.191     4577.992
       5.616      150.400      101.191     4577.992
       5.623      151.900      101.191     4577.992
       5.630        0.000      101.191     4577.992
       5.637      139.300      101.191     4577.992
       5.645      153.900      101.191     4577.992
       5.652      110.100      101.191     4577.992
       5.660        0.000      101.191     4577.992
       5.667      135.300      101.191     4577.992
       5.675      174.400      101.191     4577.992
       5.682       54.000      101.191     4577.992
       5.691      135.000      101.191     4577.992
       5.698       97.300      101.191     4577.992
       5.705      106.800      101.191     4577.992
       5.713       57.800      101.191     4577.992
       5.720      134.500      101.191     4577.992
       5.728        0.000      101.191     4577.992
       5.735      133.300      101.191     4577.992
       5.743      131.200      101.191     4577.992
       5.750      134.000      101.191     4577.992
       5.758        0.000      101.191     4577.992
       5.764      150.900      101.191     4577.992
       5.772      160.100      101.191     4577.992
       5.779        0.000      101.191     4577.992
       5.786      137.100      101.191     4577.992
       5.793      138.100      101.191     4577.992
       5.801      110.100      101.191     4577.992
       5.808       58.700      101.191     4577.992
       5.815       66.600      101.191     4577.992
       5.822      140.400      101.191     4577.992
       5.829      148.800      101.191     4577.992
       5.836      103.600      101.191     4577.992
